ìsésî‘çÜ,xç¿ïW,yç¿ïW
1,610.769268,2780.918775
2,2328.638987,468.554436
3,5829.382202,5009.052870
4,2871.252660,4522.592694
5,4534.799976,2563.629160
6,387.986377,7855.790967
7,7604.931327,1975.238182
8,2791.294964,9218.428788
9,6334.458483,1727.735545
10,2526.702133,2586.822996
11,9854.122983,6251.448967
12,5837.316935,5622.773959
13,1003.843739,4549.448714
14,8141.441359,9790.950301
15,7229.862597,3762.384225
16,4585.155013,4951.068282
17,8059.347389,2987.527018
18,9833.980969,6233.748408
19,5723.789215,7665.662554
20,6163.861721,6013.406973
21,485.644630,9845.883068
22,3918.027067,8794.225748
23,7237.492148,4641.003327
24,3386.399948,1815.017609
25,4930.621085,8188.744575
26,2176.963512,9192.183132
27,5401.211795,7428.230924
28,7134.035435,2408.596683
29,3150.189047,7004.943431
30,4872.636497,4963.580746
31,2646.028312,3617.727937
32,9987.792718,3995.238124
33,4705.701920,3120.281207
34,5001.423319,6687.554106
35,8523.529276,688.285507
36,1112.183364,4276.310785
37,905.880303,9364.610987
38,3804.499347,1463.142714
39,9275.497830,7297.002646
40,2388.149486,4055.053804
41,5.593277,8981.607523
42,7523.142540,2635.957305
43,8654.757555,817.987875
44,5795.201813,5088.400201
45,3649.161687,6297.531455
46,5407.925800,5774.144252
47,9995.422269,1131.104651
48,2044.819687,4187.807993
49,4565.623362,3631.461129
50,8976.419428,895.504114
51,9533.681838,661.429487
52,462.145613,3571.340266
53,5514.739515,4461.861467
54,2520.903674,943.722877
55,976.987719,669.059038
56,120.952089,7464.852770
57,9482.716437,2839.208545
58,4865.922492,6515.126252
59,1325.810794,3786.493606
60,2224.266729,4954.425285
61,1125.916556,9051.189029
62,2376.552568,6835.262215
63,7942.157485,2808.690341
64,3737.664480,9086.590146
65,9468.067699,1534.860494
66,3215.803186,6985.106598
67,6871.884060,5732.639494
68,2273.706220,2221.214908
69,1844.009903,5043.233259
70,2852.636555,1378.302106
71,2413.174413,7044.922279
72,2222.435636,7632.397711
73,9096.050789,5057.271633
74,819.513785,3487.720386
75,7938.800482,5262.048784
76,2135.763936,7359.870147
77,2018.574032,8451.811496
78,8720.982058,1820.205704
79,7963.825410,6719.903403
80,3359.849110,6310.959465
81,9054.240849,406.907663
82,9490.345988,2146.140126
83,1468.330808,5610.566677
84,9917.906030,2611.542741
85,5237.634220,7575.328669
86,7898.211270,5973.122944
87,6467.517853,273.848292
88,9642.021464,4208.865554
89,2393.032398,7493.539882
90,2310.022883,5275.171612
91,5829.687384,5735.691314
92,6558.156920,1721.631904
93,577.504425,4247.623673
94,7695.265212,3466.662825
95,4349.249293,2495.268383
96,4517.404599,7542.674190
97,777.093481,387.070830
98,9881.894549,2630.769210
99,7065.979839,1567.514972
100,2078.389712,1189.699603

k,i,next,min,tdis
2,1,74,736.982219,736.982219
